id,title,poster_path
1168190,The Wrecking Crew,https://image.tmdb.org/t/p/original/gbVwHl4YPSq6BcC92TQpe7qUTh6.jpg
840464,Greenland 2: Migration,https://image.tmdb.org/t/p/original/1mF4othta76CEXcL1YFInYudQ7K.jpg
1084242,Zootopia 2,https://image.tmdb.org/t/p/original/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg
1419406,The Shadow's Edge,https://image.tmdb.org/t/p/original/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg
1368166,The Housemaid,https://image.tmdb.org/t/p/original/yXGM0cg3mPZlB2kJkFVJo1crrWs.jpg
1601243,Oscar Shaw,https://image.tmdb.org/t/p/original/tsE3nySukwrfUjouz8vzvKTcXNC.jpg
1271895,96 Minutes,https://image.tmdb.org/t/p/original/gWKZ1iLhukvLoh8XY2N4tMvRQ2M.jpg
1310568,Murder at the Embassy,https://image.tmdb.org/t/p/original/3DBmBItPdy0A2ol59jgHhS54Lua.jpg
1234731,Anaconda,https://image.tmdb.org/t/p/original/qxMv3HwAB3XPuwNLMhVRg795Ktp.jpg
1584215,The Internship,https://image.tmdb.org/t/p/original/fYqSOkix4rbDiZW0ACNnvZCpT6X.jpg
83533,Avatar: Fire and Ash,https://image.tmdb.org/t/p/original/5bxrxnRaxZooBAxgUVBZ13dpzC7.jpg
1242898,Predator: Badlands,https://image.tmdb.org/t/p/original/pHpq9yNUIo6aDoCXEBzjSolywgz.jpg
1306368,The Rip,https://image.tmdb.org/t/p/original/eZo31Dhl5BQ6GfbMNf3oU0tUvPZ.jpg
1167307,David,https://image.tmdb.org/t/p/original/bESlrLOrsQ9gKzaGQGHXKOyIUtX.jpg
755898,War of the Worlds,https://image.tmdb.org/t/p/original/yvirUYrva23IudARHn3mMGVxWqM.jpg
1198994,Send Help,https://image.tmdb.org/t/p/original/mlV70IuchLZXcXKowjwSpSfdfUB.jpg
