genre_ids,id,original_language,overview,release_date,title
"['Horror', 'Science Fiction']",27892,en,"['On', 'its', 'way', 'back', 'to', 'Earth,', 'the', 'space', 'shuttle', 'Nautilus', 'passes', 'through', 'a', 'cloud', 'of', 'alien', 'spores', 'causing', 'its', 'sole', 'occupant,', 'astronaut', 'Steve', 'Thomas', 'to', 'transform', 'into', 'a', 'blood-thirsty', 'monster.', 'The', 'shuttle', 'crashes', 'into', 'a', 'swampy', 'region', 'of', 'central', 'Florida,', 'creating', 'a', 'situation', 'which', 'threatens', 'contagion', 'and/or', 'death', 'to', 'all', 'who', 'encounter', 'the', 'shuttle', 'or', 'its', 'mutated', 'pilot.']",1993-12-29,Dark Universe
['Drama'],362410,en,"['Eleven-year-old', 'Kirsty', 'struggles', 'to', 'accept', 'her', 'looming', 'womanhood', 'as', 'she', 'learns', 'that', 'she', 'will', 'soon', 'lose', 'her', 'position', 'on', 'the', 'local', ""boy's"", 'football', 'team.']",2015-10-04,Offside
['Drama'],77805,en,"['Story', 'of', 'Linda', 'Lovelace,', 'who', 'is', 'used', 'and', 'abused', 'by', 'the', 'porn', 'industry', 'at', 'the', 'behest', 'of', 'her', 'coercive', 'husband,', 'before', 'taking', 'control', 'of', 'her', 'life.']",2013-08-08,Lovelace
"['Horror', 'Western']",987912,en,"['After', 'a', 'gang', 'of', 'violent', 'outlaws', 'forces', 'a', 'Native', 'American', 'woman', 'to', 'lead', 'them', 'through', 'a', 'treacherous', 'forest', 'in', 'search', 'of', 'a', 'fortune', 'in', 'gold,', 'they', 'unknowingly', 'awaken', 'an', 'ancient,', 'bloodthirsty', 'beast', 'that', 'will', 'stop', 'at', 'nothing', 'to', 'annihilate', 'them', 'all.']",2022-07-22,Blackwood
"['Crime', 'Drama', 'Comedy']",408765,bn,"['Two', 'couples', 'belonging', 'to', 'different', 'social', 'strata', 'got', 'intertwined', 'by', 'coincidences', 'face', 'different', 'kinds', 'crisis', 'on', 'a', 'day.', 'The', 'corporate', 'executive', 'and', 'his', 'wife', 'face', 'an', 'unforeseen', 'and', 'bewildering', 'situation', 'when', 'they', 'confront', 'a', 'burglar', 'first', 'and', 'later', 'the', ""burglar's"", 'wife.', 'Meanwhile', 'an', 'expensive', 'necklace', 'went', 'missing', 'from', 'their', 'apartment', 'and', 'was', 'later', 'discovered', 'shining', 'on', 'the', ""burglar's"", 'wife', 'who', 'claimed', ""it's"", 'ownership!']",2011-02-04,Necklace
"['Action', 'Mystery', 'Thriller', 'Science Fiction']",615173,ko,"['A', 'girl', 'wakes', 'up', 'in', 'a', 'huge', 'secret', 'laboratory,', 'then', 'accidentally', 'meets', 'another', 'girl', 'who', 'is', 'trying', 'to', 'protect', 'her', 'house', 'from', 'a', 'gang.', 'The', 'mystery', 'girl', 'overthrows', 'the', 'gang', 'with', 'her', 'unexpected', 'powers,', 'and', 'laboratory', 'staff', 'set', 'out', 'to', 'find', 'her.']",2022-06-15,The Witch: Part 2. The Other One
"['Thriller', 'Horror']",50698,en,"['A', 'crew', 'from', 'a', 'paranormal', 'reality', 'television', 'show', 'lock', 'themselves', 'in', 'a', 'haunted', 'psychiatric', 'hospital.', 'They', 'search', 'for', 'evidence', 'of', 'paranormal', 'activity', 'as', 'they', 'shoot', 'what', 'ends', 'up', 'becoming', 'their', 'final', 'episode.']",2011-09-09,Grave Encounters
"['Comedy', 'Romance']",10591,en,"['Exceptionally', 'ambitious', 'high', 'schooler', 'Matthew', 'has', 'aspirations', 'for', 'a', 'career', 'in', 'politics', 'when', 'he', 'falls', 'in', 'love', 'with', 'his', 'gorgeous', '19-year-old', 'neighbor,', 'Danielle.', 'But', ""Matthew's"", 'bright', 'future', 'is', 'jeopardized', 'when', 'he', 'finds', 'Danielle', 'was', 'once', 'a', 'porn', 'star.', 'As', ""Danielle's"", 'past', 'catches', 'up', 'with', 'her,', ""Matthew's"", 'love', 'for', 'her', 'forces', 'him', 'to', 're-evaluate', 'his', 'goals.']",2004-04-09,The Girl Next Door
"['Drama', 'Thriller', 'TV Movie']",31067,en,"['Cold', 'War', 'tensions', 'climb', 'to', 'a', 'fever', 'pitch', 'when', 'a', 'U.S.', 'bomber', 'is', 'accidentally', 'ordered', 'to', 'drop', 'a', 'nuclear', 'warhead', 'on', 'Moscow.']",2000-04-09,Fail Safe
"['Crime', 'Mystery']",156325,es,"['This', 'is', 'the', 'Spanish-language', 'version,', 'with', 'a', 'different', 'cast', 'and', 'crew,', 'of', 'the', 'Charlie', 'Chan', 'film', 'Charlie', 'Chan', 'Carries', 'On,', 'in', 'which', 'Charlie', 'sets', 'out', 'to', 'discover', 'the', 'killer', 'of', 'an', 'American', 'found', 'dead', 'in', 'a', 'London', 'hotel', 'room.']",1931-12-04,There Were Thirteen
"['Drama', 'Comedy']",276906,en,"['Two', 'codependent', 'roommates,', 'on', 'the', 'verge', 'of', 'eviction,', 'flee', 'New', 'York', 'for', 'the', 'promise', 'of', 'sunshine', 'in', 'Los', 'Angeles', 'where', 'their', 'friendship', 'is', 'tested', 'by', 'a', 'chance', 'at', 'fame,', 'a', 'fortune', 'teller', 'and', 'an', 'amorous', 'wealthy', 'aunt.']",2014-06-15,Apartment Troubles
"['Family', 'Comedy', 'Animation', 'Adventure']",301528,en,"['Woody', 'has', 'always', 'been', 'confident', 'about', 'his', 'place', 'in', 'the', 'world', 'and', 'that', 'his', 'priority', 'is', 'taking', 'care', 'of', 'his', 'kid,', 'whether', ""that's"", 'Andy', 'or', 'Bonnie.', 'But', 'when', 'Bonnie', 'adds', 'a', 'reluctant', 'new', 'toy', 'called', '""Forky""', 'to', 'her', 'room,', 'a', 'road', 'trip', 'adventure', 'alongside', 'old', 'and', 'new', 'friends', 'will', 'show', 'Woody', 'how', 'big', 'the', 'world', 'can', 'be', 'for', 'a', 'toy.']",2019-06-19,Toy Story 4
['Drama'],55309,en,"['The', 'tragic', 'story', 'of', 'Vincent', 'van', 'Gogh', 'broadened', 'by', 'focusing', 'as', 'well', 'on', 'his', 'brother', 'Theodore,', 'who', 'helped', 'support', 'Vincent.', 'Based', 'on', 'the', 'letters', 'written', 'between', 'the', 'two.']",1990-12-02,Vincent & Theo
['Drama'],112103,sr,"['Five', 'scenarios', 'in', 'which', 'people', 'have', 'trouble', 'distinguishing', 'truth', 'from', 'illusions.', 'Each', 'segment', 'reflects', 'the', 'motto', 'of', ""Voltaire's"", 'Candide:', '""Optimism', 'is', 'insisting', 'everything', 'is', 'good,', 'when', 'everything', 'is', 'bad.""']",2006-09-29,The Optimists
['Mystery'],288949,de,"['Eva', 'Lewandowski,', 'accused', 'of', 'murdering', 'her', 'husband,', 'attempts', 'to', 'prove', 'her', 'innocence', 'during', 'a', 'break', 'in', 'her', 'imprisonment', 'and', 'becomes', 'entangled', 'in', 'the', 'dubious', 'machinations', 'of', 'the', 'Aurora', 'Marriage', 'Institute.', 'Crime', 'film', 'based', 'on', 'an', 'audionovel', 'by', 'Hans-Ulrich', 'Horster', '(Eduard', 'Rhein).']",1962-01-18,Eheinstitut Aurora
"['Science Fiction', 'Action', 'Adventure']",1724,en,"['Scientist', 'Bruce', 'Banner', 'scours', 'the', 'planet', 'for', 'an', 'antidote', 'to', 'the', 'unbridled', 'force', 'of', 'rage', 'within', 'him:', 'the', 'Hulk.', 'But', 'when', 'the', 'military', 'masterminds', 'who', 'dream', 'of', 'exploiting', 'his', 'powers', 'force', 'him', 'back', 'to', 'civilization,', 'he', 'finds', 'himself', 'coming', 'face', 'to', 'face', 'with', 'a', 'new,', 'deadly', 'foe.']",2008-06-12,The Incredible Hulk
"['Romance', 'Drama', 'Comedy']",7520,en,"['After', 'being', 'discharged', 'from', 'the', 'Army,', 'Brian', 'Flanagan', 'moves', 'back', 'to', 'Queens', 'and', 'takes', 'a', 'job', 'in', 'a', 'bar', 'run', 'by', 'Doug', 'Coughlin,', 'who', 'teaches', 'Brian', 'the', 'fine', 'art', 'of', 'bar-tending.', 'Brian', 'quickly', 'becomes', 'a', 'patron', 'favorite', 'with', 'his', 'flashy', 'drink-mixing', 'style,', 'and', 'Brian', 'adopts', 'his', ""mentor's"", 'cynical', 'philosophy', 'on', 'life', 'and', 'goes', 'for', 'the', 'money.']",1988-07-29,Cocktail
"['Comedy', 'Romance', 'Science Fiction']",49679,hi,"['A', 'young', 'man', 'tries', 'to', 'revive', 'his', ""parents'"", 'wilting', 'marriage', 'by', 'traveling', 'to', 'the', '1970s', 'when', 'their', 'romance', 'was', 'budding', 'to', 'help', 'make', 'it', 'bloom:', 'something', 'more', 'complex', 'than', 'he', 'expects.']",2010-11-05,Action Replayy
"['Drama', 'War']",489153,sh,"['The', 'mother', 'of', 'a', 'national', 'hero', 'Nikoletina', 'Bursac', 'leads', 'an', 'imaginary', 'conversation', 'with', 'the', 'statue', 'of', 'her', 'deceased', 'son.', 'We', 'follow', 'events', 'from', ""Nikoletina's"", 'life', 'and', 'war:', 'his', 'joining', 'of', 'the', 'partisans', 'together', 'with', 'his', 'neighbor', 'Jovica', 'Jez,', 'meeting', 'with', 'the', 'small', 'Jewish', 'girl', 'Erna', 'who', 'survived', 'the', 'slaughter', 'of', 'her', 'village,', 'constant', 'quarrels', 'and', 'friendship', 'with', 'commander', 'Pirgo', 'and', 'commissar', 'Zlatko,', 'meeting', 'with', 'Curetak', 'and', 'their', 'unsuccessful', 'love', 'relationship.']",1964-11-19,Nikoletina Bursac
['Comedy'],936770,sk,"['The', 'author', 'has', 'endowed', 'the', 'main', 'character', 'of', 'the', 'humorous', 'story,', 'Miša,', 'with', 'a', 'human', 'weakness', '-', 'a', 'love', 'for', 'a', 'drink.', 'He', 'struggles', 'between', 'the', 'word', 'of', 'honor', 'he', 'gave', 'to', 'the', 'priest', 'Drozdík', 'that', 'he', 'would', 'not', 'drink', 'and', 'the', 'temptations', 'of', 'the', 'surrounding', 'world', 'and', 'the', 'opportunities', 'in', 'the', 'vineyards', 'and', 'at', 'the', 'fair,', 'where', 'everyone', 'lets', 'a', 'tear', 'fall', 'down', 'their', 'throats.']",1979-01-01,Mišo
"['Comedy', 'Crime', 'Romance']",10878,en,"['A', 'pair', 'of', 'buddies', 'conspire', 'to', 'save', 'their', 'best', 'friend', 'from', 'marrying', 'the', 'wrong', 'woman,', 'a', 'cold-hearted', 'beauty', 'who', 'snatches', 'him', 'from', 'them', 'and', 'breaks', 'up', 'their', 'Neil', 'Diamond', 'cover', 'band.']",2001-02-09,Saving Silverman
"['Western', 'Drama', 'Adventure']",281957,en,"['In', 'the', '1820s,', 'a', 'frontiersman,', 'Hugh', 'Glass,', 'sets', 'out', 'on', 'a', 'path', 'of', 'vengeance', 'against', 'those', 'who', 'left', 'him', 'for', 'dead', 'after', 'a', 'bear', 'mauling.']",2015-12-25,The Revenant
"['Comedy', 'Drama', 'Family', 'Romance']",21542,en,"['A', 'high', 'school', 'outcast', 'pays', 'a', 'cheerleader', 'to', 'pose', 'as', 'his', 'girlfriend', 'so', 'he', 'can', 'be', 'considered', 'cool.']",2003-12-12,Love Don't Co$t a Thing
"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']",260514,en,"['Blindsided', 'by', 'a', 'new', 'generation', 'of', 'blazing-fast', 'racers,', 'the', 'legendary', 'Lightning', 'McQueen', 'is', 'suddenly', 'pushed', 'out', 'of', 'the', 'sport', 'he', 'loves.', 'To', 'get', 'back', 'in', 'the', 'game,', 'he', 'will', 'need', 'the', 'help', 'of', 'an', 'eager', 'young', 'race', 'technician', 'with', 'her', 'own', 'plan', 'to', 'win,', 'inspiration', 'from', 'the', 'late', 'Fabulous', 'Hudson', 'Hornet,', 'and', 'a', 'few', 'unexpected', 'turns.']",2017-06-15,Cars 3
"['Adventure', 'Animation', 'Family', 'Comedy', 'Science Fiction']",278154,en,"['Set', 'after', 'the', 'events', 'of', 'Continental', 'Drift,', ""Scrat's"", 'epic', 'pursuit', 'of', 'his', 'elusive', 'acorn', 'catapults', 'him', 'outside', 'of', 'Earth,', 'where', 'he', 'accidentally', 'sets', 'off', 'a', 'series', 'of', 'cosmic', 'events', 'that', 'transform', 'and', 'threaten', 'the', 'planet.', 'To', 'save', 'themselves', 'from', 'peril,', 'Manny,', 'Sid,', 'Diego,', 'and', 'the', 'rest', 'of', 'the', 'herd', 'leave', 'their', 'home', 'and', 'embark', 'on', 'a', 'quest', 'full', 'of', 'thrills', 'and', 'spills,', 'highs', 'and', 'lows,', 'laughter', 'and', 'adventure', 'while', 'traveling', 'to', 'exotic', 'new', 'lands', 'and', 'locations.']",2016-06-23,Ice Age: Collision Course
['Drama'],113329,pt,"['Nando', 'and', 'Erika,', 'two', 'young', 'people', 'in', 'their', 'twenties,', 'meet', 'several', 'times', 'without', 'noticing.', 'The', 'story', 'of', 'the', 'subculture', 'of', 'electronic', 'music', 'and', 'rave', 'parties', 'and', 'drugs', 'like', 'MDMA.']",2012-05-04,Artificial Paradises
"['Action', 'Adventure', 'Western']",57201,en,"['The', 'Texas', 'Rangers', 'chase', 'down', 'a', 'gang', 'of', 'outlaws', 'led', 'by', 'Butch', 'Cavendish,', 'but', 'the', 'gang', 'ambushes', 'the', 'Rangers,', 'seemingly', 'killing', 'them', 'all.', 'One', 'survivor', 'is', 'found,', 'however,', 'by', 'an', 'American', 'Indian', 'named', 'Tonto,', 'who', 'nurses', 'him', 'back', 'to', 'health.', 'The', 'Ranger,', 'donning', 'a', 'mask', 'and', 'riding', 'a', 'white', 'stallion', 'named', 'Silver,', 'teams', 'up', 'with', 'Tonto', 'to', 'bring', 'the', 'unscrupulous', 'gang', 'and', 'others', 'of', 'that', 'ilk', 'to', 'justice.']",2013-07-03,The Lone Ranger
"['Action', 'Fantasy']",634492,en,"['Forced', 'to', 'confront', 'revelations', 'about', 'her', 'past,', 'paramedic', 'Cassandra', 'Webb', 'forges', 'a', 'relationship', 'with', 'three', 'young', 'women', 'destined', 'for', 'powerful', 'futures...if', 'they', 'can', 'all', 'survive', 'a', 'deadly', 'present.']",2024-02-14,Madame Web
['Drama'],1951,da,"['In', '1933,', 'a', 'young', 'woman', 'and', 'her', 'father', 'discover', 'an', 'Alabama', 'plantation', 'whose', 'inhabitants', 'live', 'as', 'if', 'slavery', 'had', 'never', 'been', 'abolished.', 'Feeling', 'a', 'sense', 'of', 'duty', 'to', 'those', 'behind', 'the', 'heavy', 'gates,', 'she', 'stays', 'to', 'liberate', 'the', 'people', 'and', 'see', 'them', 'through', 'their', 'first', 'harvest.', 'With', 'four', 'of', 'her', ""father's"", 'colleagues', 'and', 'a', 'lawyer,', 'she', 'faces', 'the', 'daunting', 'task', 'of', 'resurrecting', 'the', 'place', 'known', 'as', 'Manderlay.']",2005-06-03,Manderlay
['Comedy'],368993,en,"['Eager', 'contestants', 'don', 'big', 'heads', 'and', 'furry', 'suits', 'to', 'vie', 'for', 'the', 'title', 'of', ""World's"", 'Best', 'Mascot.']",2016-10-11,Mascots
['Horror'],972206,en,"['A', 'group', 'of', 'teenagers', 'dare', 'each', 'other', 'to', 'touch', 'a', 'cursed', 'oak', 'tree', 'which', 'leads', 'to', 'the', 'disappearing', 'of', 'one', 'of', 'the', 'group', 'and', 'another', 'gets', 'a', 'rash', 'on', 'her', 'palm', 'leading', 'to', 'a', 'battle', 'for', 'survival.']",2025-07-17,Oak
"['Comedy', 'Drama', 'Romance']",129841,de,"['Hella', 'lives', 'in', 'a', 'boarding', 'house', 'and', 'has', 'various', 'romantic', 'adventures', 'before', 'settling', 'down', 'with', 'vacuum', 'cleaner', 'salesman', 'Winkler.']",1930-08-25,Farewell
"['Drama', 'War']",18516,en,"['After', 'again', 'attempting', 'to', 'commit', 'murder,', 'a', 'Jewish', 'man', 'with', 'a', 'mysterious', 'past', 'and', 'extraordinary', 'intelligence,', 'charisma,', 'and', 'body', 'control', 'returns', 'to', 'an', 'insane', 'asylum,', 'where', 'he', 'makes', 'a', 'startling', 'discovery.']",2008-08-08,Adam Resurrected
['Comedy'],100416,en,"['What', 'go', 'around', 'comes', 'around', 'for', 'a', 'pair', 'of', 'prank-playing', 'tire', 'salesmen', 'who', 'find', 'themselves', 'placed', 'in', 'secretarial', 'jobs', 'by', 'their', 'put-upon', 'boss.']",2011-03-12,Demoted
"['Horror', 'Mystery', 'Thriller']",724427,en,"['A', 'young', 'woman', 'goes', 'searching', 'for', 'answers', 'after', 'her', 'friend', 'mysteriously', 'vanishes', 'in', 'Whitehall,', 'NY,', 'an', 'Adirondack', 'town', 'known', 'for', 'its', 'Bigfoot', 'sightings.', 'She', 'quickly', 'learns', 'that', 'hiding', 'in', 'the', 'woods', 'is', 'an', 'evil', 'more', 'sinister', 'than', 'she', 'could', 'ever', 'imagine.']",2020-08-11,Monstrous
"['Drama', 'Romance']",54578,en,"['While', 'on', 'a', 'hunt', 'for', 'elephant', 'poachers', 'in', 'Namibia,', 'a', 'white', 'female', 'conservationist', 'and', 'a', 'black', 'lawyer', 'fall', 'for', 'each', 'other', 'despite', 'the', 'condemnation', 'by', 'the', 'local', 'community.']",2000-07-05,Kin
"['Drama', 'TV Movie']",897175,ru,"['Sofya', 'Petrovna,', 'a', 'typist', 'from', 'a', 'publishing', 'house', 'in', 'Leningrad,', 'has', 'her', 'only', 'son', 'repressed.', 'In', 'her', 'publishing', 'house,', 'managers', 'and', 'ordinary', 'employees', 'were', 'repressed.', 'And', 'Sofya', 'Petrovna', 'begins', 'walking', 'around', 'the', 'offices,', 'trying', 'to', 'explain', 'that', 'a', 'mistake', 'has', 'occurred.']",1989-01-01,Sofia Petrovna
"['Thriller', 'Drama', 'Comedy', 'Mystery']",1144911,en,"['Famed', 'aesthetician', 'Hope', 'Goldman', 'is', 'about', 'to', 'take', 'her', 'career', 'to', 'the', 'next', 'level', 'by', 'launching', 'her', 'very', 'own', 'skin', 'care', 'line.', 'However,', 'she', 'soon', 'faces', 'a', 'new', 'challenge', 'when', 'a', 'rival', 'opens', 'a', 'boutique', 'directly', 'across', 'from', 'her', 'store.', 'Suspecting', 'that', 'someone', 'is', 'trying', 'to', 'sabotage', 'her,', 'she', 'embarks', 'on', 'a', 'quest', 'to', 'unravel', 'the', 'mystery', 'of', ""who's"", 'trying', 'to', 'destroy', 'her', 'life.']",2024-08-15,Skincare
"['Romance', 'Comedy', 'Music']",286543,cs,"['This', 'light-hearted', 'comedy', 'operetta', 'tells', 'the', 'story', 'of', 'a', 'newly', 'appointed', 'high', 'school', 'professor', 'who', 'becomes', 'an', 'ideal', 'target', 'for', 'pranks', 'and', 'jokes.']",1932-09-23,The Ideal Schoolmaster
"['Animation', 'Family', 'Fantasy']",10144,en,"['This', 'colorful', 'adventure', 'tells', 'the', 'story', 'of', 'an', 'impetuous', 'mermaid', 'princess', 'named', 'Ariel', 'who', 'falls', 'in', 'love', 'with', 'the', 'very', 'human', 'Prince', 'Eric', 'and', 'puts', 'everything', 'on', 'the', 'line', 'for', 'the', 'chance', 'to', 'be', 'with', 'him.', 'Memorable', 'songs', 'and', 'characters', '--', 'including', 'the', 'villainous', 'sea', 'witch', 'Ursula.']",1989-11-17,The Little Mermaid
"['Horror', 'Mystery']",1151586,en,"['Carrie', 'has', 'been', 'fascinated', 'by', 'the', 'local', 'legend', 'of', 'the', 'pig', 'people', 'of', 'Pig', 'Hill,', 'revolting', 'creatures', 'who', 'breed', 'and', 'cause', 'havoc', 'in', 'the', 'area.', 'As', 'the', 'tenth', 'woman', 'goes', 'missing,', 'Carrie', ""can't"", 'stop', 'thinking', 'that', 'there', 'could', 'be', 'more', 'to', 'these', 'stories.']",2025-08-23,Pig Hill
"['Drama', 'Comedy']",8827,fr,"['Paris,', 'France,', '2001.', 'Octave', 'Parango,', 'a', 'young', 'advertiser', 'working', 'at', 'the', 'Ross', '&', 'Witchcraft', 'advertising', 'agency,', 'lives', 'a', 'suicidal', 'existence,', 'ruled', 'by', 'cynicism,', 'irresponsibility', 'and', 'debauchery.', 'The', 'obstacles', 'he', 'will', 'encounter', 'in', 'developing', 'a', 'campaign', 'for', 'a', 'new', 'yogurt', 'brand', 'will', 'force', 'him', 'to', 'face', 'the', 'meaning', 'of', 'his', 'work', 'and', 'the', 'way', 'he', 'manages', 'his', 'relationship', 'with', 'those', 'who', 'orbit', 'around', 'his', 'egotistic', 'lifestyle.']",2007-09-26,99 Francs
"['Action', 'Drama']",18214,en,"['One', 'of', 'the', 'US', 'Air', ""Force's"", 'most', 'modern', 'tactical', 'aircrafts,', 'an', 'F-100', 'with', 'a', 'new', 'laser', 'guidance', 'system,', 'crashes', 'into', 'the', 'sea', 'near', 'Malta', '-', 'a', 'region', 'where', 'the', 'Soviet', 'forces', 'are', 'highly', 'present,', 'too.', 'The', 'CIA', 'immediately', 'sends', 'out', 'their', 'best', 'secret', 'agent,', 'Ken', 'Tani,', 'to', 'salvage', 'the', 'system', 'before', 'it', 'falls', 'into', 'enemy', 'hands.', 'To', 'ensure', 'his', 'loyalty,', 'they', 'bring', 'his', 'two', 'young', 'sons', 'to', 'a', 'nearby', 'hotel', 'on', 'the', 'island.']",1988-05-01,Black Eagle
['Drama'],614579,nl,"['An', 'orthodox', 'Jewish', 'man', 'refuses', 'to', 'accept', 'the', 'marriage', 'of', 'his', 'daughter', 'to', 'a', 'Christian', 'man.']",1914-09-18,Recovered
['Documentary'],459248,pt,"['Documentary', 'made', 'in', 'the', 'municipality', 'of', 'Luziânia', '-', 'Goiás,', 'presenting', 'a', 'black', 'community,', 'a', 'remnant', 'of', 'the', 'old', 'quilombo.']",1975-02-01,Quilombo
"['Horror', 'Mystery']",568770,es,"['A', 'girl', 'is', 'possessed', 'by', 'a', 'dark', 'and', 'mysterious', 'entity.', 'She', 'will', 'fight', 'with', 'all', 'the', 'elements', 'at', 'her', 'disposal', 'to', 'get', 'rid', 'of', 'it.', 'Neither', 'her', 'mother,', 'nor', 'traditional', 'medicine,', 'nor', 'a', 'supposed', 'expert', 'in', 'exorcisms,', 'will', 'be', 'able', 'to', 'make', 'the', 'demon', 'disappear,', 'until', 'a', 'nun', 'gets', 'involved', 'in', 'the', 'case', 'and', 'sows', 'a', 'doubt', 'more', 'terrible', 'than', 'the', 'possession', 'itself.']",2025-06-05,The Containment
"['Romance', 'Drama']",1308821,tl,"['Yuna,', 'a', 'woman', 'engaged', 'with', 'her', 'long', 'time', 'boyfriend,', 'Nicco,', 'starts', 'to', 'have', 'second', 'thoughts', 'when', 'she', 'meets', 'again', 'her', 'first', 'love,', 'Becca.', 'Now', 'she', 'is', 'torn', 'between', 'the', 'man', 'she', 'loves', 'and', 'the', 'woman', 'she', 'first', 'loved.']",2024-08-07,First Taste
"['Drama', 'Romance']",527701,en,"['Happy,', 'beautiful', 'and', 'independent,', 'Veronica', 'enjoys', 'being', 'a', 'mistress.', 'No', 'commitment,', 'no', 'strings', 'and', 'she', 'never', 'has', 'to', 'be', 'vulnerable.', 'She', 'has', 'carefully', 'laid', 'every', 'brick', 'in', 'the', 'walls', 'of', 'the', 'fortress', 'surrounding', 'her', 'heart.', ""She's"", 'safe', 'and', 'having', 'a', 'great', 'time.', 'However,', 'there', 'is', 'one', 'person', 'who', 'knew', 'her', 'heart', 'before', 'those', 'walls', 'were', 'erected,', 'her', 'best', 'friend', 'Brandon,', 'who', 'has', 'stood', 'by', 'her', 'for', 'too', 'many', 'years', 'to', 'count.', 'And', 'while', 'Veronica', 'has', 'tried', 'to', 'keep', 'her', 'feelings', 'at', 'bay,', 'he', 'is', 'the', 'one', 'who', 'holds', 'the', 'key', 'that', 'opens', 'her', ""Pandora's"", 'box', 'of', 'emotions.']",2018-06-01,Mistrust
"['Science Fiction', 'Adventure', 'Action']",316508,ja,"['Goggle', 'V', 'must', 'prevent', 'Deathdark', 'from', 'using', 'their', 'new', 'laser', 'weapon', 'to', 'destroy', 'Tokyo.', 'This', 'movie', 'takes', 'place', 'some', 'time', 'between', 'episodes', '8', 'and', '14', 'of', 'the', 'Goggle', 'V', 'TV', 'series.']",1982-03-13,Dai Sentai Goggle-V: The Movie
['Documentary'],584026,en,"['A', 'murdered', 'slave', 'girl', 'still', 'wanders', 'Myrtles', 'Plantation', 'in', 'Louisiana,', 'a', 'betrayed', 'Redcoat', 'spy', 'roams', 'Ney', ""York's"", 'Raynam', 'Hall,', 'and', 'seventeenth-century', 'witch', 'hunter', 'George', 'Corwin', 'cursed', 'Salem', 'sheriffs', 'to', 'this', 'very', 'day.', 'Dramatic', 'recreations', 'and', 'expert', 'historians', 'provide', 'insight', 'into', 'thexe', 'vexed', 'spirits', 'trapped', 'between', 'two', 'worlds.']",1996-01-01,Haunted Houses
"['Drama', 'War']",28,en,"['At', 'the', 'height', 'of', 'the', 'Vietnam', 'war,', 'Captain', 'Benjamin', 'Willard', 'is', 'sent', 'on', 'a', 'dangerous', 'mission', 'that,', 'officially,', '""does', 'not', 'exist,', 'nor', 'will', 'it', 'ever', 'exist.""', 'His', 'goal', 'is', 'to', 'locate', '-', 'and', 'eliminate', '-', 'a', 'mysterious', 'Green', 'Beret', 'Colonel', 'named', 'Walter', 'Kurtz,', 'who', 'has', 'been', 'leading', 'his', 'personal', 'army', 'on', 'illegal', 'guerrilla', 'missions', 'into', 'enemy', 'territory.']",1979-05-19,Apocalypse Now
"['Crime', 'Thriller', 'Action', 'Drama']",9546,en,"['An', 'attorney', 'is', 'terrorized', 'by', 'the', 'criminal', 'he', 'put', 'away', 'years', 'ago', 'when', 'he', 'was', 'a', 'cop.']",1991-10-04,Ricochet
"['Science Fiction', 'Horror', 'Action']",110004,en,"['Paleontologist', 'Robert', 'Trenton', 'is', 'called', 'to', 'Northeastern', 'Antarctica', 'near', 'the', 'Indian', 'Ocean', 'to', 'help', 'the', 'FBI', 'build', 'an', 'underground', 'maximum-security', 'military', 'base', 'and', 'prison', 'for', 'the', ""world's"", 'most', 'dangerous', 'criminals', 'and', 'terrorists,', 'which', 'is', 'dubbed', '""New', 'Alcatrax""', 'by', 'the', 'staff.', 'While', 'building', 'the', 'prison,', 'the', 'staff', 'accidentally', 'awaken', 'and', 'unleash', 'a', 'prehistoric', 'Boa', 'Constrictor', 'from', 'its', '200', 'year', 'hibernation.']",2001-12-07,New Alcatraz
"['Action', 'Fantasy', 'Comedy', 'Drama', 'Horror']",326853,es,"['Live', 'action', 'feature', 'based', 'on', 'the', 'Mexican', 'comic', 'about', 'the', 'exploits', 'of', 'a', 'witch', 'living', 'in', 'the', 'outskirts', 'of', ""'Bondojia',"", 'when', 'a', 'ruthless', 'small', 'time', 'politician', 'tries', 'to', 'steal', 'their', 'land', 'in', 'order', 'to', 'build', 'a', 'luxurious', 'condo.']",1984-07-21,Hermelinda Linda
"['Comedy', 'Drama']",881693,fr,"['An', 'aeronautical', 'engineer', 'at', 'Ariane', 'Espace,', 'Jim', 'has', 'devoted', 'himself', 'for', 'years', 'to', 'a', 'secret', 'project:', 'building', 'his', 'own', 'rocket', 'and', 'accomplishing', 'the', 'first', 'manned', 'space', 'flight', 'as', 'an', 'amateur.', 'But', 'to', 'realize', 'his', 'dream,', 'he', 'must', 'learn', 'to', 'share', 'it.']",2023-02-15,The Astronaut
"['Action', 'Comedy', 'Thriller', 'Mystery', 'Crime']",2185,en,"['The', 'story', 'of', 'how', 'a', 'mysterious', 'suitcase', 'brings', 'together,', 'and', 'changes,', 'the', 'lives', 'of', 'a', 'divorced', 'dad,', 'an', 'unhappy', 'housewife,', 'two', 'hitmen,', 'a', 'pair', 'of', 'street', 'thugs,', 'two', 'love', 'struck', 'teens,', 'two', 'FBI', 'men', 'and', 'a', 'psychedelic', 'toad.', 'Based', 'on', 'Pulitzer', 'Prize-winning', 'humorist', 'Dave', ""Barry's"", 'best-selling', 'first', 'novel,', '""Big', 'Trouble.""']",2002-04-05,Big Trouble
